Year,Month,State,Gross Statutory Allocation,Deduction,Exchange Gain,EMTL,Net Share of Ecology,VAT,Total Allocation
2022,December,LAGOS,4196352272,0,43492084.19,353078253.5,0,127195330.7,8575618392
2022,December,TARABA,2777722616,0,28789038.2,63190798.41,0,84195349.62,1118819442
2022,December,YOBE,2792756658,0,28944854.92,64883138.9,0,84651045.38,1160103782
2022,December,ZAMFARA,2523442331,0,26153611.33,64996954.36,0,76487878.27,1148026480
2022,December,FCT-ABUJA,1114526963,0,11551246.74,75333315.66,0,33782346.28,1841113970
2022,February,ADAMAWA,1220082145,0,523618567,24262348.23,0,53038891.8,1327625740
2022,February,ANAMBRA,1226675598,0,526448257.3,24393464.53,0,53325519.59,1471246090
2022,February,BAUCHI,1392519547,0,597622949.5,27691409.4,0,60535017.19,1725709445
2022,February,BORNO,1645136497,0,706037719.8,32714907.56,0,71516673.74,1695013703
2022,February,EKITI,825632914.5,0,354334112.2,16418397.21,0,35891562.72,1016385346
2022,February,ENUGU,1056444590,0,453390785.9,21008279.35,0,45925309.66,1180935883
2022,February,JIGAWA,1487505537,0,638387768.4,29580284.8,0,64664207.7,1743723477
2022,February,KADUNA,1672840828,0,717927494.6,33265831.22,0,72721024.61,1896817898
2022,February,KATSINA,2027620168,0,870186955.7,40320913.49,0,88143841.13,2270914212
2022,February,LAGOS,1594274118,0,684209282.9,31703466.85,0,69305606.04,7436152987
2022,February,TARABA,1055309704,0,452903730.6,20985711.2,0,45875974.38,965985461.6
2022,February,YOBE,1061021423,0,455355009.8,21099293.48,0,46124271.78,1073640163
2022,February,ZAMFARA,958703782.8,0,411443691,19064622.11,0,41676362.88,1033642699
2022,February,FCT-ABUJA,423430011.5,0,181722039.6,8420257.958,0,18407169.27,2949362463
2022,May,ADAMAWA,2160990256,0,104723713.4,46556605.58,0,69368117.26,1292099354
2022,May,ANAMBRA,2172668477,0,105289651.5,46808202.42,0,69742989.92,1356482200
2022,May,BAUCHI,2466408665,0,119524589.9,53136572.5,0,79172094.82,1424650407
2022,May,BORNO,2913839824,0,141207544,62776077.32,0,93534703.35,1572658683
2022,May,EKITI,1462348000,0,70866822.45,31504981.96,0,46941594.12,911973489.9
2022,May,ENUGU,1871158000,0,90678157.18,40312428.41,0,60064457.57,1136969881
2022,May,JIGAWA,2634646352,0,127677553.7,56761103.25,0,84572550.26,1627772635
2022,May,KADUNA,2962909297,0,143585498.9,63833235.31,0,95109840.94,1807174202
2022,May,KATSINA,3591288871,0,174037391.1,77371112.16,0,115280921.2,2065298532
2022,May,LAGOS,2823753180,0,136841856.6,60835241.01,0,90642908.32,6995533945
2022,May,TARABA,1869147908,0,90580746.13,40269122.76,0,59999933.29,919385381.7
2022,May,YOBE,1879264414,0,91071001.97,40487073.85,0,60324674.69,960349723.9
2022,May,ZAMFARA,1698041023,0,82288738.21,36582777.71,0,54507376.17,945591680.5
2022,May,FCT-ABUJA,749972559.6,0,36344407.92,16157489.17,0,24074233.7,2171629800
2022,October,ANAMBRA,2327657607,0,315868954.4,89794192.94,0,79305796.83,1632781300
2022,October,BAUCHI,2642351998,0,358573769.7,69892429.31,0,90027773.03,1602853637
2022,October,BORNO,3121701034,0,423622631.9,80679288.73,0,106359710,1800912464
2022,October,EKITI,1566665822,0,212600467.3,50417565.97,0,53377988.68,1062317537
2022,October,ENUGU,2004638627,0,272034471.5,65491571.42,0,68300192.96,1312134695
2022,October,JIGAWA,2822591061,0,383032661.1,79104906.01,0,96168711.67,1835212496
2022,October,KADUNA,3174270920,0,430756496.7,95348934.27,0,108150822.5,1914424935
2022,October,KATSINA,3847476478,0,522112173.4,104477021.7,0,131087659.5,2337489293
2022,October,LAGOS,3025187984,0,410525569.8,255666601,0,103071406.6,8326088960
2022,October,TARABA,2002485143,0,271742238.4,47113734.6,0,68226821.44,1034816032
2022,October,YOBE,2013323319,0,273213005.9,48800307.02,0,68596089.74,1096776461
